od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,service_capacity_ratio,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required,reference_path_used
4->11,4,11,396,409,4.0,0.85,3.4,0.6000000000000001,0.0,False,1.0,0.0,535.828,535.828,642.9935999999999,0.0,107.1656,True
4->12,4,12,396,410,8.0,0.15,1.2,6.8,0.0,False,1.0,0.0,853.1100000000001,774.25,929.0999999999999,0.0,154.85000000000002,True
4->13,4,13,396,412,8.0,0.15,1.2,6.8,1.0,True,0.1907143167269484,0.8092856832730516,891.698843035122,773.385,928.0619999999999,147.495591841871,154.67700000000002,False
4->14,4,14,396,414,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.17353082609962547,0.8264691739003746,1485.8588430351222,1362.5739999999996,1635.0887999999995,236.448591841871,272.5147999999999,False
4->2,4,2,396,394,5.0,0.15,0.75,4.25,0.0,False,1.0,0.0,1217.590801144187,1059.030634311984,1270.8367611743806,0.0,211.8061268623968,True
4->3,4,3,396,395,10.0,0.15,1.5,8.5,1.0,True,0.16972510987270187,0.8302748901272982,298.09967445563905,298.09967445563905,357.71960934676684,50.595,59.61993489112781,False
4->5,4,5,396,397,20.0,0.15,3.0,17.0,1.0,True,0.14527111867535125,0.8547288813246487,446.38604418624095,446.38604418624095,535.6632530234891,64.847,89.2772088372482,False
4->6,4,6,396,398,15.0,0.15,2.25,12.75,1.0,True,0.17853603973974697,0.821463960260253,920.1669234205891,920.1669234205891,1104.200308104707,164.282958407019,184.03338468411783,False
4->7,4,7,396,399,13.0,0.15,1.95,11.049999999999999,1.0,True,0.18036921086348637,0.8196307891365137,1275.0534953249542,1275.0534953249542,1530.064194389945,229.98039276049198,255.01069906499083,False
4->8,4,8,396,401,1.0,0.15,0.15,0.85,0.0,False,1.0,0.0,1427.1212323356049,1312.942220362424,1575.5306644349087,0.0,262.58844407248483,True
4->9,4,9,396,407,6.0,0.15,0.8999999999999999,5.1,0.0,False,1.0,0.0,1158.6509924508618,1035.287848697858,1242.3454184374295,0.0,207.0575697395716,True
5->1,5,1,397,393,11.0,0.15,1.65,9.35,1.0,True,0.18311570208465916,0.8168842979153408,937.181489988725,930.777634357108,1116.9331612285296,170.44,186.1555268714216,False
5->10,5,10,397,408,15.0,0.15,2.25,12.75,1.0,True,0.08233080788575119,0.9176691921142488,539.967979686179,539.967979686179,647.9615756234148,44.456,107.9935959372358,False
