id,name,geometry
403,1322,"POLYGON ((-93.26822263775307 44.98977985369446, -93.2673269572443 44.989324447997916, -93.2664215985129 44.98796358095215, -93.26619803876787 44.98765931976505, -93.2672278140482 44.98739030960318, -93.26731755879153 44.98736686555098, -93.27058730410799 44.98651262580909, -93.2709952992824 44.9864060259557, -93.27165568408515 44.98623342001631, -93.27221937446333 44.98605401925357, -93.27256761822257 44.985943184835214, -93.27317620647709 44.98571668200064, -93.27382246877734 44.98547424035975, -93.2739684644215 44.98557329875513, -93.27475136515264 44.986104488199906, -93.27587421102146 44.98689845380348, -93.27663871331744 44.98744122232502, -93.27820644268238 44.988609350400566, -93.27858565804245 44.98889189723616, -93.27971239857592 44.98962570923789, -93.28058333714581 44.9903138669923, -93.28094276562592 44.99091535730811, -93.28143092762228 44.991979994149474, -93.2798146975675 44.99199296924168, -93.27879848110625 44.99200040561309, -93.27796734588043 44.99200648062497, -93.27743343419445 44.992025782753366, -93.27688693943576 44.99206761774214, -93.27547119485924 44.99230509360142, -93.27521315180128 44.99238444848465, -93.27475675343692 44.992524801995096, -93.27330155365586 44.99297985788629, -93.27283833180147 44.99245787182519, -93.27167251610571 44.9917700042224, -93.27107609078558 44.99141808268468, -93.26894502389429 44.9901471372536, -93.26822263775307 44.98977985369446))"
404,1323,"POLYGON ((-93.28143092762228 44.991979994149474, -93.28094276562592 44.99091535730811, -93.28058333714581 44.9903138669923, -93.27971239857592 44.98962570923789, -93.27858565804245 44.98889189723616, -93.27820644268238 44.988609350400566, -93.27663871331744 44.98744122232502, -93.27587421102146 44.98689845380348, -93.27475136515264 44.986104488199906, -93.2739684644215 44.98557329875513, -93.27382246877734 44.98547424035975, -93.27242454306248 44.984525719048094, -93.27178184812259 44.98407249871905, -93.2732970739673 44.98302720560999, -93.27424319052739 44.982443144909595, -93.27424381408859 44.98244357370565, -93.27438227322789 44.982538321582325, -93.27479542379078 44.98282102841929, -93.27613572869568 44.98373813729088, -93.27717252142511 44.98437947956457, -93.27719048315781 44.98438696520308, -93.27719920723234 44.98439164304712, -93.27737908209323 44.98448144187625, -93.27781561318812 44.98472624390163, -93.27808176695225 44.9848741175363, -93.27809486248364 44.98488198756139, -93.27810497503873 44.984887322698015, -93.2782494597177 44.984959683125275, -93.2784121156443 44.98506431967539, -93.27841762014769 44.98506786202677, -93.27842845307319 44.98507525682505, -93.27930511830266 44.985716721405076, -93.28024920644651 44.986400551561104, -93.28025315506959 44.98640337748524, -93.28071770515592 44.986712427494865, -93.28072808926673 44.98671974575932, -93.28152747943533 44.98727931766817, -93.28177890764591 44.98745531219447, -93.28251794906045 44.98800710786852, -93.28251933688264 44.988008152261855, -93.28287499323983 44.98833932846117, -93.28309100631505 44.988503201142436, -93.28311429688976 44.988523869486094, -93.28311554297116 44.988524977237084, -93.28317057235463 44.98858738451955, -93.28326149863604 44.98872029419692, -93.28367217198866 44.989148995293945, -93.28380103390172 44.989384995975755, -93.28382060329307 44.989409292200584, -93.2838909137888 44.989594737520356, -93.28410913421709 44.98992244351585, -93.28412443344916 44.98995177879437, -93.28418984237817 44.99030430135462, -93.28431734778026 44.99063445789107, -93.28459762692394 44.991303190943086, -93.28474945427148 44.991892767245474, -93.28474080181851 44.99189983373637, -93.28469237083057 44.991999665360204, -93.28403328287318 44.99200777522941, -93.28370762434058 44.992011780377204, -93.28293364218668 44.992021294502884, -93.28143092762228 44.991979994149474))"
405,1324,"POLYGON ((-93.27424319052739 44.982443144909595, -93.27538997792362 44.981735179388, -93.27646193343737 44.980976484571265, -93.27694191317282 44.980669971667204, -93.27774620172231 44.98022639863525, -93.27780671334367 44.98026968770423, -93.27816208730995 44.9805239129802, -93.27850083947475 44.98076624828014, -93.27966745656333 44.98162103363076, -93.28070991708971 44.98228410587809, -93.28157557057008 44.982859255813004, -93.28348711229599 44.98419616534415, -93.28359847537922 44.984288594559054, -93.28362843149692 44.984306718512876, -93.28381144594387 44.984417454157686, -93.28548864006471 44.985619054533444, -93.28577320283283 44.9857607716804, -93.28605345755686 44.98595774926835, -93.28606815109848 44.985965805216374, -93.28608404035931 44.98597606364475, -93.28641968859125 44.9861744138802, -93.28675662458798 44.986374129985364, -93.28676665581503 44.98637973101548, -93.28693045036782 44.986471204302276, -93.28747456789077 44.986842943302726, -93.28768524076358 44.98700536246364, -93.28864616304946 44.98774617278593, -93.28864998165369 44.988507018384794, -93.28844340637204 44.98925379070338, -93.28795564969415 44.989852021449906, -93.28718719840383 44.9904012079118, -93.28627876463972 44.991000488457104, -93.28522959883242 44.99150061303352, -93.28474945427148 44.991892767245474, -93.28459762692394 44.991303190943086, -93.28431734778026 44.99063445789107, -93.28418984237817 44.99030430135462, -93.28412443344916 44.98995177879437, -93.28410913421709 44.98992244351585, -93.2838909137888 44.989594737520356, -93.28382060329307 44.989409292200584, -93.28380103390172 44.989384995975755, -93.28367217198866 44.989148995293945, -93.28326149863604 44.98872029419692, -93.28317057235463 44.98858738451955, -93.28311554297116 44.988524977237084, -93.28311429688976 44.988523869486094, -93.28309100631505 44.988503201142436, -93.28287499323983 44.98833932846117, -93.28251933688264 44.988008152261855, -93.28251794906045 44.98800710786852, -93.28177890764591 44.98745531219447, -93.28152747943533 44.98727931766817, -93.28072808926673 44.98671974575932, -93.28071770515592 44.986712427494865, -93.28025315506959 44.98640337748524, -93.28024920644651 44.986400551561104, -93.27930511830266 44.985716721405076, -93.27842845307319 44.98507525682505, -93.27841762014769 44.98506786202677, -93.2784121156443 44.98506431967539, -93.2782494597177 44.984959683125275, -93.27810497503873 44.984887322698015, -93.27809486248364 44.98488198756139, -93.27808176695225 44.9848741175363, -93.27781561318812 44.98472624390163, -93.27737908209323 44.98448144187625, -93.27719920723234 44.98439164304712, -93.27719048315781 44.98438696520308, -93.27717252142511 44.98437947956457, -93.27613572869568 44.98373813729088, -93.27479542379078 44.98282102841929, -93.27438227322789 44.982538321582325, -93.27424381408859 44.98244357370565, -93.27424319052739 44.982443144909595))"
406,1325,"POLYGON ((-93.26899455701945 44.98214767642443, -93.26906185845432 44.98209731758274, -93.27019510866815 44.981295462850895, -93.27138073334032 44.98046832264903, -93.27252113756715 44.979646427054846, -93.2736940052581 44.97879500394968, -93.27482437204146 44.97798905164409, -93.27602741334694 44.97876031536113, -93.2763215728595 44.97880054313366, -93.27650671180425 44.97882946843473, -93.27667441671016 44.97889534551017, -93.27680739710182 44.97896529617662, -93.27695185760871 44.97908454958915, -93.27708470580939 44.979224328453114, -93.27716009167757 44.9793188587461, -93.27722800639904 44.97944057503733, -93.27743223310772 44.97988964594201, -93.2775665536011 44.98009787874251, -93.27768994371381 44.98018615265555, -93.27774620172231 44.98022639863525, -93.27694191317282 44.980669971667204, -93.27646193343737 44.980976484571265, -93.27538997792362 44.981735179388, -93.27424319052739 44.982443144909595, -93.2732970739673 44.98302720560999, -93.27178184812259 44.98407249871905, -93.2713113441686 44.98374069823139, -93.27020290542518 44.9829045997115, -93.26899455701945 44.98214767642443))"
407,1326,"POLYGON ((-93.26689279509473 44.98124543897402, -93.2668980689202 44.98123886062211, -93.2692568637379 44.978231860008336, -93.27058515712586 44.978810765817805, -93.27252113756715 44.979646427054846, -93.27138073334032 44.98046832264903, -93.27019510866815 44.981295462850895, -93.26906185845432 44.98209731758274, -93.26899455701945 44.98214767642443, -93.26813687039812 44.98178245678583, -93.26689279509473 44.98124543897402))"
408,1327,"POLYGON ((-93.26404710134942 44.98002581070681, -93.26409826284505 44.9799559362315, -93.2648939048714 44.9790117324404, -93.26570670325574 44.978042133512076, -93.26653340767996 44.977098268801704, -93.26788198025908 44.977645466529644, -93.2692568637379 44.978231860008336, -93.2668980689202 44.98123886062211, -93.26689279509473 44.98124543897402, -93.26540673659517 44.980603924526626, -93.26404710134942 44.98002581070681))"
409,1328,"POLYGON ((-93.26653340767996 44.977098268801704, -93.2673597784648 44.97614410408528, -93.26818368727933 44.97515845913557, -93.2695126513671 44.975724209883, -93.27077126429572 44.97625035385105, -93.27075352480666 44.976270511698154, -93.2692568637379 44.978231860008336, -93.26788198025908 44.977645466529644, -93.26653340767996 44.977098268801704))"
410,1329,"POLYGON ((-93.2692568637379 44.978231860008336, -93.27075352480666 44.976270511698154, -93.27077126429572 44.97625035385105, -93.27088307902586 44.97629709515132, -93.27224162644154 44.97686548945527, -93.27362618125774 44.97746766341435, -93.27371979493046 44.97750839981586, -93.27482437204146 44.97798905164409, -93.2736940052581 44.97879500394968, -93.27252113756715 44.979646427054846, -93.27058515712586 44.978810765817805, -93.2692568637379 44.978231860008336))"
412,1330,"POLYGON ((-93.27077126429572 44.97625035385105, -93.2695126513671 44.975724209883, -93.26818368727933 44.97515845913557, -93.26897604897025 44.97418883926364, -93.26978286852317 44.97323526249551, -93.26982487469922 44.97318028005221, -93.2753036103452 44.97561460891973, -93.27452457810435 44.97654255951579, -93.27371979493046 44.97750839981586, -93.27362618125774 44.97746766341435, -93.27224162644154 44.97686548945527, -93.27088307902586 44.97629709515132, -93.27077126429572 44.97625035385105))"
413,1331,"POLYGON ((-93.26982487469922 44.97318028005221, -93.2705378557309 44.972247028050944, -93.27137728444981 44.97125031681177, -93.27217053206546 44.97029872276538, -93.27354281852347 44.97086706944713, -93.27492631339813 44.97142186244124, -93.27501980840499 44.971461928359396, -93.27636769921375 44.97203952674559, -93.27785006115342 44.97265256492072, -93.27738366959994 44.97309383375895, -93.27699430669665 44.97357934397563, -93.2761633846743 44.97461396300234, -93.2753036103452 44.97561460891973, -93.26982487469922 44.97318028005221))"
