od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required
13->2,13,2,412,394,7.0,0.85,5.95,1.0500000000000003,1.0,True,0.0,1513.931976059271,1513.931976059271,1816.718371271125,0.0,302.7863952118542
13->3,13,3,412,395,8.0,0.85,6.8,1.2000000000000002,1.0,True,0.0,593.5991685794829,593.5991685794829,712.3190022953795,0.0,118.71983371589658
13->4,13,4,412,396,7.0,0.15,1.05,5.95,1.0,True,0.0,891.698843035122,773.385,928.0619999999999,0.0,154.67700000000002
13->5,13,5,412,397,13.0,0.15,1.95,11.049999999999999,1.0,True,0.0,1253.140887221363,1206.993847882601,1448.392617459121,0.0,241.39876957652018
13->6,13,6,412,398,4.0,0.15,0.6,3.4,1.0,True,0.024504825757606593,1729.751863951645,1669.181425919881,2003.017711103857,40.903,333.8362851839762
13->7,13,7,412,399,20.0,0.15,3.0,17.0,1.0,True,0.0,2081.8083383600756,2026.0627514108776,2431.275301693053,0.0,405.2125502821755
13->8,13,8,412,401,4.0,0.15,0.6,3.4,0.0,False,1.0,1189.376913376474,1074.1179439827642,1288.941532779317,0.0,214.82358879655285
13->9,13,9,412,407,3.0,0.85,2.55,0.45000000000000007,1.0,True,0.0,629.0488486978579,627.026848697858,752.4322184374296,0.0,125.4053697395716
14->1,14,1,414,393,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,898.2151596679469,898.2151596679469,1077.8581916015362,0.0,179.64303193358938
14->10,14,10,414,408,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.11098288351959289,1350.1700002382959,1333.5653205859858,1600.2783847031828,148.002924640363,266.7130641171972
14->11,14,11,414,409,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.0,966.2429999999999,966.2429999999999,1159.4915999999998,0.0,193.2486
14->12,14,12,414,410,3.0,0.85,2.55,0.45000000000000007,1.0,True,0.0,593.491,593.491,712.1891999999999,0.0,118.6982
14->13,14,13,414,412,7.0,0.85,5.95,1.0500000000000003,1.0,True,0.0,594.1600000000001,594.1600000000001,712.9920000000001,0.0,118.83200000000002
14->2,14,2,414,394,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.0,2108.0919760592706,1992.1340863258165,2390.5609035909797,0.0,398.4268172651633
